Population,Site,Institution,Individual.ID,inlet.ML,inlet.AP,midplane.ML,midplane.AP,outlet.ML,outlet.AP,Region,Body.mass
Portugal,,"Coimbra University, Portugal",144,12.7,11.5,9.7,12.2,11.4,11.2,Europe and North Africa,51.57842269
Portugal,,"Coimbra University, Portugal",148,13.4,10.9,10.8,13.3,13.3,12.6,Europe and North Africa,50.38407164
Portugal,,"Coimbra University, Portugal",153,12.2,12,9.1,13.2,11.3,12.5,Europe and North Africa,54.62914583
Portugal,,"Coimbra University, Portugal",155,13,11.6,9.6,13.5,10.9,12.8,Europe and North Africa,52.86457087
Portugal,,"Coimbra University, Portugal",172,11.8,11.3,9.7,12.2,12.3,11.2,Europe and North Africa,46.55296054
Portugal,,"Coimbra University, Portugal",182,13.1,10.3,10.4,11.8,12.5,11.4,Europe and North Africa,53.43309445
Portugal,,"Coimbra University, Portugal",201,15,12.6,11.5,13,13.8,12.1,Europe and North Africa,53.06354744
Portugal,,"Coimbra University, Portugal",225,11.2,8.8,9.4,9.8,11,9,Europe and North Africa,38.2892461
Portugal,,"Coimbra University, Portugal",252,12.3,10.95,10.6,12.8,13.1,12.6,Europe and North Africa,40.23689773
Portugal,,"Coimbra University, Portugal",254,12.8,10.5,10.4,12.3,12.5,11.7,Europe and North Africa,50.87169424
Portugal,,"Coimbra University, Portugal",283,12.15,11.5,9.1,13.3,11.9,12.4,Europe and North Africa,54.21686663
Portugal,,"Coimbra University, Portugal",293,11.9,10.55,10.1,11.95,11.2,11.5,Europe and North Africa,47.16063332
Portugal,,"Coimbra University, Portugal",300,11.9,10.55,8.4,12,11.7,11.6,Europe and North Africa,47.46022878
Portugal,,"Coimbra University, Portugal",317,12.5,12.7,9,12.8,10.9,12,Europe and North Africa,52.92419267
Portugal,,"Coimbra University, Portugal",449,13.4,10.2,9.9,12.1,12.4,11.2,Europe and North Africa,42.51647299
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-138,13.5,9.8,11.2,12.6,13.5,10.95,Americas,58.46195701
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-159,13.5,11.5,11.4,13.8,12.8,12.9,Americas,58.39371583
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-166,13.7,10.9,11.2,13.9,12.8,13.3,Americas,60.52610275
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-B19,13.2,11.3,10.8,12.7,12.15,12.2,Americas,56.40873215
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-B44,13.3,9.9,10.5,12.3,11.6,11.8,Americas,56.79397705
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-B49,11.9,10.2,10.8,13.3,12.5,12.8,Americas,56.42275326
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-B4A,13.6,8.5,11.7,11.7,12.4,10.95,Americas,58.47128204
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",NP-B9B,14.8,10.2,11.3,15.3,14.2,15.4,Americas,55.01465278
Sadlermiut,,"Musée Canadien des Civilisations, Gatineau, Canada",PP-B3,12.55,10.1,10.8,13.3,12.6,12.9,Americas,55.18071357
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",757,11.4,10.2,10.2,12.1,10.6,11.6,Subsaharan Africa,40.77924284
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",759,12.1,11.65,10.6,12.2,12,11.7,Subsaharan Africa,54.49076
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",891,12.3,11.5,10.4,12.6,12,12,Subsaharan Africa,41.58261944
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",897,11.9,10.1,10.6,13.7,11.7,13.2,Subsaharan Africa,46.00365374
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",900,10.8,10.8,10.1,11.5,11.5,10.7,Subsaharan Africa,45.70682614
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",950,12.1,9.55,10.2,11.3,11.7,10.9,Subsaharan Africa,46.71507134
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",1438,11.8,10.4,10.2,13,11.3,12.1,Subsaharan Africa,47.41429968
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",1534,12,10.8,10,11.4,11.7,10.8,Subsaharan Africa,46.42799432
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",1631,12.7,11.3,10.6,13.5,12,13,Subsaharan Africa,55.87923207
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",2068,12.6,10.6,10.2,12.1,11.2,11.4,Subsaharan Africa,51.35625596
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",2394,12.9,11.2,9.7,14,10.1,13.9,Subsaharan Africa,50.46993469
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",2464,11.1,10,7.3,11.2,9.1,10.2,Subsaharan Africa,41.84042779
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",2741,10.7,10.1,8.3,10.8,10.1,10.3,Subsaharan Africa,51.5984408
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",3291,11,10.5,9.4,11.4,10.6,11.2,Subsaharan Africa,50.26044734
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",3413,11.8,9.1,8.6,11.3,9.9,10.9,Subsaharan Africa,53.46991948
Swaziland,,"University of Witwatersrand, Johannesburgh, South Africa",3605,11.5,11,9.7,12.2,11.7,11,Subsaharan Africa,41.11764693
Thailand,,"Musée de l’Homme, Paris, France",20005,12.1,10.8,9,12.1,11.2,11.8,Asia,NA
Thailand,,"Chiang Mai University, Thailand",114-50,12.9,12.2,10.9,10.6,13,9.7,Asia,51.70588427
Thailand,,"Chiang Mai University, Thailand",122-51,11.9,11.4,9.5,11.4,10.7,11,Asia,37.88591974
Thailand,,"Chiang Mai University, Thailand",131-50,12.7,12.2,9.5,10.8,10.3,10.3,Asia,59.83719851
Thailand,,"Chiang Mai University, Thailand",136-50,13.2,12.2,11.2,12.1,14.1,11.5,Asia,51.7156842
Thailand,,"Chiang Mai University, Thailand",142-52,11.65,11.55,9.5,11.1,10.2,10.2,Asia,49.7852211
Thailand,,"Chiang Mai University, Thailand",147-52,12.35,11.1,9.3,11.8,11.5,11.1,Asia,46.44555114
Thailand,,"Chiang Mai University, Thailand",153-52,13.9,13.4,10.2,12.2,12.2,11.3,Asia,52.09115341
Thailand,,"Chiang Mai University, Thailand",160-50,11.9,13.3,8.6,13.3,10.6,12.8,Asia,47.18565925
Thailand,,"Chiang Mai University, Thailand",160-52,13,11,11.1,12.3,12.2,11.4,Asia,49.90766104
Thailand,,"Chiang Mai University, Thailand",163-52,12.2,10.9,9,12.1,10.7,11.7,Asia,47.3465305
Thailand,,"Chiang Mai University, Thailand",184-52,12.8,12.3,10,12.4,10.7,11.7,Asia,59.97855951
Thailand,,"Chiang Mai University, Thailand",188-51,12.6,11.9,11.1,12.2,12.25,11.7,Asia,44.01435787
Thailand,,"Chiang Mai University, Thailand",22-52,13,11.6,10,12.6,11.6,12.1,Asia,45.72751559
Thailand,,"Chiang Mai University, Thailand",23-50,12.7,13.1,9.2,11.65,11.3,10.6,Asia,57.04192364
Thailand,,"Chiang Mai University, Thailand",25-52,12,11.8,9,11.6,11.9,11,Asia,43.35543077
Thailand,,"Chiang Mai University, Thailand",28-51,11.5,13.4,9.6,11.2,13.3,10.4,Asia,45.04569804
Thailand,,"Chiang Mai University, Thailand",35-53,12.75,10.8,10.7,11.6,12.75,11.1,Asia,43.43278673
Thailand,,"Chiang Mai University, Thailand",38-52,11.2,10.9,9.5,11.2,10.9,10.6,Asia,45.99057195
Thailand,,"Chiang Mai University, Thailand",40-51,13.4,10.7,9.7,12.2,10.9,11.5,Asia,53.66120152
Thailand,,"Chiang Mai University, Thailand",53-52,12.6,10.4,10.1,12.4,11,12,Asia,46.16691358
